city,state,longitude,latitude,1850,1860,1870,1880,1890,1910,1920,1930,1940,1950,1960,1970,1980,1990,1996
Newark,New Jersey,-74.1700053321149,40.7004213654136,39,72,105,137,182,347,415,442,430,437,405,382,329,275,269
Buffalo,New York,-78.8819479355383,42.8819241088008,42,88,118,155,256,424,507,573,576,580,533,463,358,328,311
Colorado Springs,Colorado,-104.791986329959,38.8629624624115,,,,,11,29,30,33,37,45,70,136,215,280,345
Cincinnati,Ohio,-84.4588685084773,39.1638306436168,115,161,216,255,297,364,401,451,456,504,503,454,385,364,346
Pittsburgh,Pennsylvania,-80.0019312526002,40.4319444538431,47,78,140,235,344,534,588,670,672,677,604,520,424,370,350
St. Louis,Missouri,-90.2419263698286,38.6369635781851,78,161,311,351,452,687,773,822,816,857,750,622,453,397,352
Minneapolis,Minnesota,-93.2537321966635,44.9819251260619,,3,13,47,165,301,381,464,492,522,483,434,371,368,359
Omaha,Nebraska,-96.0099900734133,41.2400008331892,,2,16,31,140,124,192,214,224,251,302,347,314,343,364
Miami,Florida,-80.22605193945,25.7895565550215,,,,,,5,30,111,172,249,292,335,347,359,365
Oakland,California,-122.221103354768,37.7689207143603,,2,11,35,49,150,216,284,302,385,368,362,339,372,367
Sacramento,California,-121.471983946451,38.5769672402942,7,,,,26,45,66,94,106,138,192,257,276,369,376
Las Vegas,Nevada,-115.221952004694,36.2119436400243,,,,,,2,2,5,8,25,64,126,165,258,377
Tulsa,Oklahoma,-95.9300207944416,36.120003274575,,,,,,18,72,141,142,183,262,330,361,367,378
Fresno,California,-119.772984051373,36.7477168976245,,,,,11,25,45,53,61,92,134,165,217,354,396
Atlanta,Georgia,-84.4018952418756,33.8319597126059,3,10,22,37,66,155,201,270,302,331,487,495,425,394,402
Albuquerque,New Mexico,-106.641330812388,35.104974791498,,,,,6,11,15,27,35,97,202,245,333,385,420
Long Beach,California,-118.15804386582,33.7869673858937,,,,,,18,56,142,164,251,344,359,361,429,422
Honolulu,Hawaii,-157.859943744774,21.308822302074,,,,,21,52,83,138,179,248,294,325,365,365,424
Virginia Beach,Virginia,-75.9802645859174,36.8551601927613,,,,,,,,,,5,8,172,262,393,431
Kansas City,Missouri,-94.6060400775458,39.1090343683975,,4,32,56,133,248,324,400,399,457,475,507,448,435,441
Charlotte,North Carolina,-80.8319839462883,35.2069403848119,1,,,,12,34,46,83,101,134,202,241,315,396,442
Tucson,Arizona,-110.891932066526,32.2069426227557,,,,,5,13,20,33,37,45,213,263,331,405,449
Oklahoma City,Oklahoma,-97.5206293727874,35.4719888060368,,,,,4,64,91,185,204,244,324,368,404,445,470
New Orleans,Louisiana,-90.0419127386428,29.9969483193615,116,169,191,216,242,330,387,459,495,570,628,593,558,497,477
Portland,Oregon,-122.681935932133,45.521969681728,,3,8,18,46,207,258,302,305,374,373,380,368,439,481
Cleveland,Ohio,-81.6969440699896,41.4719326537173,17,43,93,160,261,560,796,900,898,915,876,751,574,506,498
Denver,Colorado,-104.985961810968,39.7411339069655,,,5,36,107,214,256,288,322,416,498,515,493,468,498
Nashville,Tennessee,-86.7819308457263,36.1719202432141,11,17,26,43,76,110,118,154,167,174,171,426,456,488,511
Seattle,Washington,-122.341930845868,47.5719479125307,,,1,4,43,237,315,366,368,468,557,531,494,516,525
Austin,Texas,-97.7447242214212,30.2688955442974,1,,,,15,30,35,53,88,132,187,241,315,486,541
Boston,Massachusetts,-71.0719595321868,42.3319060017023,137,178,251,363,448,670,748,781,771,801,697,641,563,574,558
Milwaukee,Wisconsin,-87.921912942085,43.0546009073042,20,45,71,116,204,374,457,578,587,637,741,717,636,628,590
Memphis,Tennessee,-90.0019410182651,35.1219326536918,9,3,10,34,64,131,162,253,293,396,498,624,646,618,597
El Paso,Texas,-106.511941018331,31.7819298053712,,,,,10,39,78,102,97,130,277,322,425,515,600
Columbus,Ohio,-82.9919554632241,39.9819202432293,18,19,31,52,88,181,237,290,306,376,471,540,565,633,657
Baltimore,Maryland,-76.6219308456855,39.3019359089167,169,212,267,332,434,558,733,805,859,950,939,905,787,736,678
Jacksonville,Florida,-81.6719326767605,30.3319666299097,,,1,,17,58,92,130,173,205,201,504,541,623,680
San Francisco,California,-122.417168773552,37.7691956296874,35,57,149,234,299,417,507,634,635,775,740,716,679,724,735
San Jose,California,-121.851934914877,37.3019287881405,,,,,18,29,40,58,68,96,204,459,629,782,839
Detroit,Michigan,-83.0820016464927,42.3319060017023,21,46,80,116,206,466,994,1568,1623,1850,1670,1514,1203,1028,1000
Dallas,Texas,-96.8419627874982,32.8219696816773,,,,10,38,92,159,260,295,434,679,844,904,1007,1053
San Antonio,Texas,-98.5092511989633,29.4892790485259,4,51,69,105,38,97,161,232,253,408,588,654,786,936,1068
San Diego,California,-117.18193572866,32.8219696816773,,1,2,3,16,40,74,147,203,334,573,694,847,1111,1117
Phoenix,Arizona,-112.071937559695,33.5419257363676,,,,,3,11,29,48,65,107,439,584,790,963,1159
Philadelphia,Pennsylvania,-75.1719418320079,40.0019190225265,121,566,674,847,1049,1549,1824,1951,1931,2072,2003,1949,1688,1586,1478
Houston,Texas,-95.341925149146,29.8219202431889,3,5,9,17,26,79,138,292,385,596,938,1234,1595,1631,1744
Chicago,Illinois,-87.7520008327093,41.8319365192784,30,109,299,503,1100,2185,2701,3376,3397,3621,3550,3369,3005,2784,2721
Los Angeles,California,-118.18192636994,33.9919241087654,2,4,6,11,50,319,577,1238,1504,1970,2479,2812,2967,3485,3554
New York,New York,-73.9819627874068,40.7519249225946,696,1175,1478,1912,2507,4767,5620,6930,7455,7892,7782,7896,7072,7323,7381